job_link,job_id,city,job_title,company_name,time_posted,num_applicatns
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=3962034970,3962034970,"Cracow, Małopolskie, Poland",P2P Transformation Senior Consultant,Capgemini,2 months ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4016186408,4016186408,"Cracow, Małopolskie, Poland",Java Developer,Mindbox SA,1 week ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=3952364502,3952364502,"Katowice, Śląskie, Poland",Technology Assurance Analyst,EY,2 weeks ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4005948664,4005948664,"Łódź, Łódzkie, Poland",Analityk w zespole Business Intelligence,Comarch,1 week ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4005376319,4005376319,"Katowice, Śląskie, Poland",Technology Assurance Analyst 1,EY,5 days ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4029296343,4029296343,Poland,.Net Full Stack Development,Pertemps ERP (part of Network EMEA),,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4004495134,4004495134,"Warsaw, Mazowieckie, Poland",EY GDS Internship Program - Junior IA Developer with German (October - November 2024),EY,1 week ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4014389771,4014389771,"Cracow, Małopolskie, Poland",Senior Android Engineer,Mindbox SA,2 weeks ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4025346270,4025346270,"Cracow, Małopolskie, Poland",DevOps Engineer,Mindbox SA,2 days ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4029254251,4029254251,Poland,Senior Dotnet Developer,Pertemps ERP (part of Network EMEA),,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4012328023,4012328023,"Cracow, Małopolskie, Poland",Product Security Architect/Lead IRC238285,GlobalLogic,2 weeks ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4006609380,4006609380,"Cracow, Małopolskie, Poland",Senior Android Engineer,Mindbox SA,2 weeks ago,29
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4004490969,4004490969,"Wrocław, Dolnośląskie, Poland",EY GDS Internship Program - Junior IA Developer with German (October - November 2024),EY,1 week ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4008851014,4008851014,"Katowice, Śląskie, Poland",Senior GL Accountant,Rockwell Automation,4 days ago,25
https://www.linkedin.com/jobs/search?keywords=RPA&location=Poland&pageNum=0&position=28&currentJobId=4021724543,4021724543,Poland,Developer SAP ABAP,SI-Consulting,1 week ago,25
